attr_id,title,content_type_id,addr1,healing,aesthetic,gourmet,learning,heritage,mood_nature,romantic,family,active,nightlife
57535,계산국민체육공원,12,인천광역시 계양구 주부토로 570,0.7,0.1,0.0,0.3,0.1,0.4,0.2,0.8,1.0,0.2
59487,다원이음터,12,경기도 화성시 동탄순환대로 754-14,0.2,0.2,0.1,0.9,0.0,0.0,0.1,0.8,0.6,0.0
57046,서울숲,12,서울특별시 성동구 뚝섬로 273,0.9,0.8,0.1,0.6,0.3,0.9,0.8,0.8,0.4,0.2
58543,윤필봉 자연동굴 (무등산권 국가지질공원),12,광주광역시 북구 무등로 1550,0.5,0.2,0.0,0.6,0.1,0.9,0.1,0.3,0.5,0.0
57733,씨사이드파크,12,인천광역시 중구 하늘달빛로2번길 6 씨사이드파크 관리사무실,0.8,0.6,0.1,0.3,0.4,0.9,0.5,1.0,0.5,0.2
60315,우리술,12,경기도 가평군 조종면 대보간선로 29,0.1,0.2,0.8,0.7,0.4,0.0,0.2,0.1,0.0,0.0
93710,토속촌삼계탕,39,서울특별시 종로구 자하문로5길 5,0.2,0.4,1.0,0.1,0.7,0.0,0.1,0.6,0.0,0.1
94117,금화왕돈까스,39,인천광역시 서구 가정로37번길 4,0.0,0.2,1.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0
98976,잠실감자탕,39,경기도 의정부시 신흥로 233,0.0,0.1,0.9,0.0,0.1,0.0,0.0,0.5,0.0,0.2
93020,에이치 450(h' 450),39,서울특별시 강남구 압구정로29길 21,0.2,0.5,0.9,0.0,0.0,0.0,0.8,0.7,0.0,0.2
94243,무지락설렁탕,39,인천광역시 남동구 논현고잔로 166,0.1,0.2,0.9,0.0,0.2,0.0,0.0,0.5,0.0,0.0
98483,언칼국수,39,경기도 파주시 금정20길 23,0.1,0.1,0.9,0.0,0.2,0.0,0.0,0.4,0.0,0.0
91950,꾸이꾸이 돼지촌 쭈꾸미 본점,39,서울특별시 강서구 초원로 77,0.0,0.1,1.0,0.0,0.0,0.0,0.1,0.4,0.0,0.3
94456,옥천관,39,인천광역시 부평구 안남로 447-2,0.2,0.5,0.9,0.0,0.1,0.0,0.1,0.5,0.0,0.0
99925,화동갈비,39,경기도 고양시 덕양구 용두로 3,0.0,0.1,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.3
93263,이모네순대국,39,서울특별시 성동구 장터5길 4,0.1,0.1,1.0,0.0,0.2,0.0,0.0,0.3,0.0,0.2
94519,장곶횟집,39,인천광역시 강화군 화도면 해안남로 2532,0.2,0.6,0.9,0.0,0.0,0.5,0.7,0.5,0.0,0.3
99672,포지티브스페이스566,39,경기도 김포시 검단로 910 (감정동),0.3,0.8,0.5,0.1,0.0,0.2,0.4,0.8,0.0,0.1
92205,라 카페 갤러리,39,서울특별시 종로구 자하문로10길 28,0.8,0.9,0.3,0.9,0.2,0.0,0.6,0.2,0.0,0.0
94146,늘솜당,39,인천광역시 남동구 논고개로 213-2,0.8,0.9,0.6,0.0,0.0,0.3,0.8,0.5,0.0,0.0
96764,군산아구꽃게해물찜탕,39,경기도 김포시 돌문로62번길 5-16,0.0,0.1,1.0,0.0,0.2,0.0,0.0,0.5,0.0,0.6
93375,정감어린,39,서울특별시 용산구 후암로 4,0.0,0.1,1.0,0.0,0.7,0.0,0.2,0.6,0.0,0.3
94362,송도아트리움,39,인천광역시 연수구 청량로97번길 56,0.6,0.9,0.3,0.5,0.0,0.2,0.8,0.2,0.0,0.2
98079,소나무집,39,경기도 하남시 검단산로 342-13,0.7,0.1,1.0,0.0,0.2,0.6,0.1,0.8,0.2,0.0
91957,나리의 집,39,서울특별시 용산구 이태원로 245,0.0,0.1,1.0,0.0,0.2,0.0,0.1,0.4,0.0,0.7
94367,송돗골,39,인천광역시 연수구 앵고개로103번길 15,0.2,0.2,0.9,0.0,0.0,0.0,0.0,0.5,0.0,0.0
97090,더숲 소전미술관,39,경기도 시흥시 소래산길 41 (대야동),0.8,0.9,0.4,0.9,0.7,0.5,0.7,0.3,0.0,0.0
92670,삼학도,39,서울특별시 서초구 효령로57길 4,0.0,0.1,1.0,0.0,0.2,0.0,0.0,0.1,0.0,0.3
94451,오목골즉석메밀우동 박문점,39,인천광역시 미추홀구 석정로 142,0.0,0.1,0.9,0.0,0.0,0.0,0.1,0.5,0.0,0.7
98981,장단가든,39,경기도 파주시 문산읍 임진나루길 133-12,0.1,0.2,0.9,0.0,0.3,0.1,0.1,0.6,0.0,0.1
93328,자인뭉티기,39,서울특별시 서초구 강남대로37길 24-7 (서초동),0.0,0.1,1.0,0.1,0.4,0.0,0.1,0.2,0.0,0.5
71059,부천자연생태박물관,14,경기도 부천시 춘의동,0.5,0.2,0.0,0.9,0.1,0.8,0.0,0.9,0.1,0.0
70186,아라리오뮤지엄 인 스페이스,14,서울특별시 종로구 율곡로 83,0.2,0.9,0.0,1.0,0.6,0.0,0.7,0.2,0.0,0.1
70446,도솔미술관,14,인천광역시 강화군 길상면 길상로210번길 52-71,0.8,0.9,0.4,0.7,0.5,0.3,0.6,0.5,0.0,0.0
71218,자유로자동차극장,14,경기도 파주시 탄현면 엘지로 697,0.4,0.5,0.2,0.6,0.0,0.1,0.9,0.7,0.0,1.0
70107,서울특별시교육청 구로도서관,14,서울특별시 구로구 공원로 15 시립구로도서관,0.4,0.1,0.0,1.0,0.0,0.0,0.1,0.7,0.0,0.0
70503,인천어린이과학관,14,인천광역시 계양구 방축로 21,0.1,0.2,0.0,1.0,0.0,0.3,0.0,1.0,0.7,0.0
71318,화성시 향토박물관,14,경기도 화성시 향남읍 행정동로 96,0.1,0.2,0.0,1.0,0.9,0.1,0.1,0.8,0.0,0.0
69901,국립중앙도서관,14,서울특별시 서초구 반포대로 201,0.7,0.2,0.0,1.0,0.5,0.3,0.1,0.1,0.0,0.0
70497,인천도시역사관,14,인천광역시 연수구 인천타워대로 238,0.1,0.3,0.0,0.9,0.8,0.1,0.2,0.6,0.0,0.0
71202,의왕조류생태과학관,14,경기도 의왕시 왕송못동로 209,0.4,0.1,0.0,0.9,0.1,0.8,0.1,1.0,0.0,0.0
70007,마포중앙도서관,14,서울특별시 마포구 성산로 128,0.5,0.1,0.0,1.0,0.0,0.0,0.1,0.7,0.0,0.0
70491,인천광역시교육청북구도서관,14,인천광역시 부평구 신트리로 21,0.3,0.1,0.0,1.0,0.0,0.0,0.0,0.7,0.0,0.0
71248,출판도시 활판인쇄박물관,14,경기도 파주시 회동길 145,0.1,0.2,0.0,0.9,0.8,0.0,0.0,0.6,0.1,0.0
70101,서울천년타임캡슐광장,14,서울특별시 중구 퇴계로34길 28,0.2,0.3,0.0,0.8,0.9,0.1,0.1,0.3,0.0,0.0
70441,기차왕국박물관카페,14,인천광역시 남동구 장자로6번길 112-7,0.2,0.7,0.1,0.8,0.1,0.0,0.4,0.9,0.0,0.0
84769,아디다스 두타,38,서울특별시 중구 장충단로 275,0.0,0.3,0.0,0.1,0.0,0.0,0.2,0.2,0.4,0.7
90010,MCM,38,경기도 파주시 필승로200,0.0,0.7,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.0
86618,서해5도수산물복합문화센터,38,인천광역시 서구 정서진로 651,0.4,0.2,0.9,0.3,0.0,0.5,0.3,0.6,0.0,0.1
86130,한섬 타미힐피거 현대가든파이브,38,서울특별시 송파구 충민로 66,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.1
89189,올리브영 송산그린시티점,38,경기도 화성시 꽃내음1길 19-6 (새솔동) 1층,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1
86484,골드앤젬 트리플ST,38,인천광역시 연수구 송도과학로16번길 33-4,0.0,0.7,0.0,0.2,0.0,0.0,0.8,0.1,0.0,0.1
84645,스와치 IFC몰,38,서울특별시 영등포구 국제금융로 10,0.0,0.4,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.1
88136,나이키 현대김포직영,38,경기도 김포시 아라육로152번길 100,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.5,0.0
86691,올리브영 계양점,38,인천광역시 계양구 오조산로 3 (작전동),0.0,0.2,0.2,0.3,0.0,0.0,0.0,0.1,0.0,0.0
85232,올리브영 신림점,38,서울특별시 관악구 신림로 353,0.0,0.2,0.1,0.3,0.0,0.0,0.1,0.1,0.0,0.2
